A,TOTAL,F,MED_E,EUR,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16457 e	16708 e	16944 e	16856 e	17112 e	17103 e	17161 e	17420 e	17842 e	18317 e	18807 e	19338 	20361 b	20358 	: 	: 	: 
A,TOTAL,F,MED_E,EUR,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	13950 	14057 	14895 	16121 	16581 	16809 	16771 	17029 	17021 	17161 	17536 	17956 	18429 	18915 	19445 	20467 b	: 	: 	: 	: 
A,TOTAL,F,MED_E,EUR,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	13819 	13930 	14768 	15996 	16459 	16680 	16645 	16906 	16903 	17044 	17420 	17842 	18317 	18807 	19338 	20361 b	20358 	: 	: 	: 
A,TOTAL,F,MED_E,EUR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17005 	17269 	17690 	18166 	18658 	19192 	20214 	20198 	20793 	22051 	: 
A,TOTAL,F,MED_E,EUR,EE	: 	: 	: 	: 	: 	: 	: 	: 	2482 	2876 	3471 	4252 	5324 	5960 	5563 	5415 	5707 	6339 	6929 b	7646 	8321 	9089 	10171 	11042 	11948 	12208 	14325 	14649 	15507 
A,TOTAL,F,MED_E,EUR,EL	5102 	5370 	5798 	6299 	6275 	6850 	6974 	8073 b	8650 	9226 	9636 	9938 	10688 	11274 	11690 	10760 	9368 	8074 	7638 	7480 	7422 	7543 	7781 	8096 	8635 	8601 	9425 	9813 	: 
A,TOTAL,F,MED_E,EUR,ES	6098 	6184 	6503 	6750 	7375 	8043 	8728 	: 	10092 b	10110 	10806 	11304 	13623 b	14355 	14450 	13699 	13695 	13444 	13091 	13249 	13490 	13948 	14492 	14783 	15804 	15719 	16560 	18063 	18932 
A,TOTAL,F,MED_E,EUR,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14255 e	14408 e	14492 e	14600 e	15097 e	15077 e	15447 e	15794 e	16147 e	16517 e	17009 e	17457 e	: 	: 	: 	: 	: 
A,TOTAL,F,MED_E,EUR,EU15	10281 e	10664 e	11144 e	11667 e	12012 e	12757 e	13536 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,F,MED_E,EUR,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	12319 e	12628 e	13526 	14255 	14408 	14568 	14680 	15182 	15164 	15537 	15883 	16236 	16604 	17096 	17540 e	: 	: 	: 	: 	: 
A,TOTAL,F,MED_E,EUR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	12394 e	12372 e	12560 e	13666 e	14193 e	14183 	14303 	14579 	14626 	14779 	15106 	15478 	15926 	16437 e	16950 e	17873 b	17960 	18638 	19858 	: 
A,TOTAL,F,MED_E,EUR,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14492 	14600 	15097 	15077 	15447 	15794 	16147 	16517 	17009 	17457 e	: 	: 	: 	: 	: 
A,TOTAL,F,MED_E,EUR,FI	: 	12499 	12480 	13055 	13204 	13918 	14521 	: 	16310 b	17071 	17911 	18096 	19180 	20334 	20854 	21336 	22196 	22791 	23150 	23375 	23225 	23606 	24012 	24320 	24873 	24844 	25719 	26650 	27959 
A,TOTAL,F,MED_E,EUR,FR	12493 	12967 	13237 	13410 	13629 	13986 	14628 	: 	14960 b	15656 	15895 	16151 	18663 b	19287 	19597 	19683 	20292 	20619 	20875 	21137 	21416 	21757 	21975 	22286 	21679 b	22265 	22596 b	23597 	: 
A,TOTAL,F,MED_E,EUR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5723 	5477 	5236 	4982 	5100 	5419 	5627 	6067 	6484 	7092 	7645 	7875 	8483 	9629 b	: 
A,TOTAL,F,MED_E,EUR,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	3417 	3805 	3903 	4345 	4686 	4194 	4417 	4606 	4393 	4450 	4524 	4722 	4881 	5323 	5737 	6353 	6452 	6816 	7184 	: 
A,TOTAL,F,MED_E,EUR,IE	7752 	8042 	8950 	10465 	10850 	11993 	14037 	16767 b	17434 	18311 	19080 	21345 	22389 	22081 	20034 	19077 	19383 	19561 	19874 	21205 	21990 	22475 	24336 	25354 b	26599 b	28406 	29588 	29943 	: 
A,TOTAL,F,MED_E,EUR,IS	: 	: 	: 	: 	: 	: 	: 	: 	21958 	23312 	28064 	28299 	31986 	21825 	18053 	18699 	18993 	20896 	22161 	24329 	28271 	33591 	39603 	36911 	35313 	: 	: 	: 	: 
A,TOTAL,F,MED_E,EUR,IT	7543 	7214 	8098 	8706 	9225 	9847 	10259 	: 	13251 b	13850 	14195 	14644 	15158 	15081 	15413 	15453 	15558 	15310 	15369 	15484 	15885 	16242 	16511 	16829 	17536 	17123 	17945 	19280 	20075 
A,TOTAL,F,MED_E,EUR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	2012 	2435 	3169 	3957 	4546 	3885 	3742 	4168 	4498 	4703 	5057 	5497 	5951 	6652 	7258 	8333 	9361 	9687 	10828 	: 
A,TOTAL,F,MED_E,EUR,LU	18257 	19870 	20240 	20428 	21072 	21833 	22905 	25304 b	26674 	28228 	29454 	29531 	30579 	31468 	32036 	31959 	32180 	32740 	33781 	35133 	32588 b	35931 	33716 	35995 	37962 b	42482 b	44253 b	46567 	49536 
A,TOTAL,F,MED_E,EUR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	2015 	2397 	3224 	4560 	5129 	4418 	4107 	4299 	4517 	5016 	5580 	6159 	6455 	6989 	7890 	8551 	8925 	9908 	10833 	12400 
A,TOTAL,F,MED_E,EUR,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2937 	3000 	3094 	3199 	3440 	3757 	3767 	3883 	3759 	4273 	: 	: 
A,TOTAL,F,MED_E,EUR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1831 	1900 	1944 	2107 	2226 	2433 	2624 	2718 	2975 	: 	: 	: 	: 
A,TOTAL,F,MED_E,EUR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	8407 	8852 	9125 	9716 	10246 	10241 	10520 	11129 	11741 	12573 	13332 	13543 	14249 	14581 	15061 	16116 	16986 	17862 	18365 	: 
A,TOTAL,F,MED_E,EUR,NL	11152 	11744 	12142 	12035 	12481 	13093 	13547 	: 	: 	16695 b	16864 	17778 	19093 	19774 	19956 	19869 	20111 	20418 	20583 	20974 	22271 b	23092 	23441 	24033 	25257 	27869 	28848 	28644 	31346 
A,TOTAL,F,MED_E,EUR,NO	: 	: 	: 	: 	: 	: 	: 	26883 	25889 	25019 	27970 	28324 	30947 	33005 	31909 	36153 	39733 	42167 	42913 	40561 	38627 	37585 	38771 	38559 	39379 	35070 b	38199 	41084 b	: 
A,TOTAL,F,MED_E,EUR,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	2525 	3096 	3467 	4113 	5001 	4342 	4951 	5010 	5131 	5284 	5526 	5807 	5890 	6460 	7011 	7839 	8172 	8824 	9943 	: 
A,TOTAL,F,MED_E,EUR,PT	4234 	4566 	4808 	4928 	5242 	5580 	5936 	: 	6774 b	7091 	7215 	7480 	8001 	8117 	8575 	8255 	8224 	8099 	8109 	8260 	8643 	8960 	9203 	9906 	10712 	10989 	11038 	11703 	: 
A,TOTAL,F,MED_E,EUR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1581 	1909 	2144 	2004 	2051 	2029 	1974 	2114 	2254 	2407 	2672 	3229 	3763 	4175 	4708 	5445 	6455 	: 
A,TOTAL,F,MED_E,EUR,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2417 	2437 	2378 	2416 	2493 	2706 	3237 	3666 	4052 	4457 	: 	: 
A,TOTAL,F,MED_E,EUR,SE	: 	: 	: 	: 	: 	: 	: 	: 	16906 	17069 	17648 	18473 	19654 b	19995 	18357 	20891 	23206 	24834 	25215 	24674 	24471 	24965 	25054 	23822 	24015 	24861 	25989 	26617 	26337 
A,TOTAL,F,MED_E,EUR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	8662 	9144 	9707 	10678 	11660 	11559 	11798 	11891 	11667 	11762 	12148 	12128 	12510 	13030 	13814 	14439 	15161 	16255 	17748 	19313 
A,TOTAL,F,MED_E,EUR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	2764 	3252 	3862 	4657 	5518 	6009 	6236 	6759 	6630 	6660 	6750 	6901 	7104 	7427 	7960 	8617 	8432 	8769 	9192 	: 
A,TOTAL,F,MED_E,EUR,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2328 	2656 	2860 	3011 	2721 	3289 	3181 	3409 	3455 	3372 	3703 	3808 	3445 	2994 	3096 	2750 	2756 	2884 	: 
A,TOTAL,F,MED_E,EUR,UK	10007 	9894 	10510 	13014 	13374 	14926 	17077 	: 	: 	17936 b	18918 	20480 	18475 	15944 	16709 	16728 	18742 b	18222 	20069 	20529 	20706 	20514 b	20868 	: 	: 	: 	: 	: 	: 
A,TOTAL,F,MED_E,EUR,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2010 	: 	: 	: 	: 	: 	: 
A,TOTAL,F,MED_E,NAC,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	239970 	264539 	280000 	305351 	318641 	: 	: 	: 
A,TOTAL,F,MED_E,NAC,AT	13179 	13678 	13513 	13740 	13983 	14535 	14667 	15275 b	16603 	17402 	17480 	17787 	18838 b	20030 	20566 	20949 	21183 	21629 	22712 	22741 	23202 	24433 	24675 	25241 	26348 	27048 	27646 	30988 	: 
A,TOTAL,F,MED_E,NAC,BE	12863 	13127 	13353 	13734 	13981 	14378 	15081 	14994 b	15353 	16081 	16692 	17150 	17592 	18851 	18963 	19380 	19688 	20878 	21189 	21012 	21550 	21976 	23135 	24013 b	25135 	25356 	26826 	28454 	29884 
A,TOTAL,F,MED_E,NAC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2661 	2815 	4167 	5401 	5720 	5504 	5428 	5593 	6375 	6329 	5952 b	6806 	6794 	7939 	8652 	9803 	10007 	12265 	14541 
A,TOTAL,F,MED_E,NAC,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	42640 	42897 	44452 	44968 	45427 	47031 	47951 	45893 b	46593 	46017 	46486 	46973 	46369 	46622 	47013 	48131 	48621 	: 
A,TOTAL,F,MED_E,NAC,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	7580 	8202 	9095 	9134 b	16005 	15839 	16580 	16502 	15437 	14186 	13618 	13854 	14180 	15199 	16144 	16403 	16291 	17344 	18516 	: 
A,TOTAL,F,MED_E,NAC,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	132337 	139791 	150365 	163603 	177475 	182406 	183912 	186421 	188437 	192746 	198337 	207978 	219133 	231718 	247954 	264365 	273760 	302252 	324221 	349870 
A,TOTAL,F,MED_E,NAC,DE	12894 	13568 	14061 	14194 	14522 	15086 	15441 	: 	: 	16117 b	15403 	17367 	17909 	18219 	18448 	18700 	19137 	19067 	19319 	20238 	20744 	21316 	22081 	22979 	25548 b	24458 	24477 	25745 	26980 
A,TOTAL,F,MED_E,NAC,DK	: 	: 	: 	: 	: 	: 	: 	151509 	153999 	160167 	164546 	170521 	175546 	183029 	186713 	197047 b	198768 	200863 	204341 	206913 	208402 	217772 	220266 	226326 	225340 b	234247 	243638 	246860 	253150 
A,TOTAL,F,MED_E,NAC,EE	: 	: 	: 	: 	: 	: 	: 	: 	2482 	2876 	3471 	4252 	5324 	5960 	5563 	5415 	5707 	6339 	6929 b	7646 	8321 	9089 	10171 	11042 	11948 	12208 	14325 	14649 	15507 
A,TOTAL,F,MED_E,NAC,EL	4365 	4833 	5261 	5788 	6164 	6629 	6974 	8073 b	8650 	9226 	9636 	9938 	10688 	11274 	11690 	10760 	9368 	8074 	7638 	7480 	7422 	7543 	7781 	8096 	8635 	8601 	9425 	9813 	: 
A,TOTAL,F,MED_E,NAC,ES	5824 	6058 	6283 	6730 	7410 	8043 	8728 	: 	10092 b	10110 	10806 	11304 	13623 b	14355 	14450 	13699 	13695 	13444 	13091 	13249 	13490 	13948 	14492 	14783 	15804 	15719 	16560 	18063 	18932 
A,TOTAL,F,MED_E,NAC,FI	: 	12001 	12233 	12912 	13286 	13918 	14521 	: 	16310 b	17071 	17911 	18096 	19180 	20334 	20854 	21336 	22196 	22791 	23150 	23375 	23225 	23606 	24012 	24320 	24873 	24844 	25719 	26650 	27959 
A,TOTAL,F,MED_E,NAC,FR	12537 	12898 	13109 	13518 	13716 	13986 	14628 	: 	14960 b	15656 	15895 	16151 	18663 b	19287 	19597 	19683 	20292 	20619 	20875 	21137 	21416 	21757 	21975 	22286 	21679 b	22265 	22596 b	23597 	: 
A,TOTAL,F,MED_E,NAC,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	42010 	39924 	39450 	37470 	38425 	40833 	42400 	45714 	48850 	53434 	57600 	59333 	63913 	9629 b	: 
A,TOTAL,F,MED_E,NAC,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	860002 	943790 	1031422 	1092000 	1178463 	1175838 	1216667 	1286727 	1270600 	1321020 	1396585 	1463757 	1520100 	1645762 	1829520 	2066676 	2266320 	2443748 	2811080 	: 
A,TOTAL,F,MED_E,NAC,IE	7812 	8328 	9017 	9933 	10832 	11993 	14037 	16767 b	17434 	18311 	19080 	21345 	22389 	22081 	20034 	19077 	19383 	19561 	19874 	21205 	21990 	22475 	24336 	25354 b	26599 b	28406 	29588 	29943 	: 
A,TOTAL,F,MED_E,NAC,IS	: 	: 	: 	: 	: 	: 	: 	: 	1902644 	2031426 	2195443 	2483559 	2802910 	3139147 	3117162 	3027219 	3065843 	3358665 	3598582 	3767555 	4136089 	4487450 	4773755 	4720533 	4847777 	: 	: 	: 	: 
A,TOTAL,F,MED_E,NAC,IT	7460 	7936 	8193 	8675 	9260 	9847 	10259 	: 	13251 b	13850 	14195 	14644 	15158 	15081 	15413 	15453 	15558 	15310 	15369 	15484 	15885 	16242 	16511 	16829 	17536 	17123 	17945 	19280 	20075 
A,TOTAL,F,MED_E,NAC,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	6949 	8407 	10943 	13662 	15697 	13416 	12921 	14392 	15532 	16240 	5057 	5497 	5951 	6652 	7258 	8333 	9361 	9687 	10828 	: 
A,TOTAL,F,MED_E,NAC,LU	17947 	18990 	19717 	20526 	21219 	21833 	22905 	25304 b	26674 	28228 	29454 	29531 	30579 	31468 	32036 	31959 	32180 	32740 	33781 	35133 	32588 b	35931 	33716 	35995 	37962 b	42482 b	44253 b	46567 	49536 
A,TOTAL,F,MED_E,NAC,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	2015 	2397 	3224 	4560 	5129 	4418 	4107 	4299 	4517 	5016 	5580 	6159 	6455 	6989 	7890 	8551 	8925 	9908 	10833 	12400 
A,TOTAL,F,MED_E,NAC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2937 	3000 	3094 	3199 	3440 	3757 	3767 	3883 	3759 	4273 	: 	: 
A,TOTAL,F,MED_E,NAC,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	112560 	116885 	119720 	129867 	137125 	149850 	161571 	167210 	182971 	: 	: 	: 	: 
A,TOTAL,F,MED_E,NAC,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	3598 	3806 	9125 	9716 	10246 	10241 	10520 	11129 	11741 	12573 	13332 	13543 	14249 	14581 	15061 	16116 	16986 	17862 	18365 	: 
A,TOTAL,F,MED_E,NAC,NL	10922 	11185 	11789 	12074 	12571 	13093 	13547 	: 	: 	16695 b	16864 	17778 	19093 	19774 	19956 	19869 	20111 	20418 	20583 	20974 	22271 b	23092 	23441 	24033 	25257 	27869 	28848 	28644 	31346 
A,TOTAL,F,MED_E,NAC,NO	: 	: 	: 	: 	: 	: 	: 	201851 	207199 	209398 	224016 	227929 	248083 	271424 	278497 	289383 	309657 	315200 	335006 	338867 	345694 	349186 	361615 	370065 	387926 	376049 b	388226 	415052 b	: 
A,TOTAL,F,MED_E,NAC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	11432 	12455 	13506 	15561 	17564 	18793 	19780 	20645 	21472 	22179 	23120 	24299 	25699 	27501 	29879 	33691 	36309 	40281 	46592 	: 
A,TOTAL,F,MED_E,NAC,PT	4158 	4466 	4695 	4881 	5273 	5580 	5936 	: 	6774 b	7091 	7215 	7480 	8001 	8117 	8575 	8255 	8224 	8099 	8109 	8260 	8643 	8960 	9203 	9906 	10712 	10989 	11038 	11703 	: 
A,TOTAL,F,MED_E,NAC,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5574 	6366 	7897 	8498 	8638 	8601 	8804 	9341 	10016 	10700 	11999 	14751 	17515 	19813 	22780 	26800 	31830 	: 
A,TOTAL,F,MED_E,NAC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	273424 	275714 	278989 	291667 	306974 	328308 	382859 	432000 	476389 	524067 	: 	: 
A,TOTAL,F,MED_E,NAC,SE	: 	: 	: 	: 	: 	: 	: 	: 	154251 	155744 	163814 	170961 	181806 b	192255 	194939 	199241 	209545 	216158 	218150 	224493 	228887 	236392 	241395 	244369 	254295 	260659 	263698 	282933 	302318 
A,TOTAL,F,MED_E,NAC,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	2070895 	2190553 	9707 	10678 	11660 	11559 	11798 	11891 	11667 	11762 	12148 	12128 	12510 	13030 	13814 	14439 	15161 	16255 	17748 	19313 
A,TOTAL,F,MED_E,NAC,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	110618 	125505 	143802 	157298 	5518 	6009 	6236 	6759 	6630 	6660 	6750 	6901 	7104 	7427 	7960 	8617 	8432 	8769 	9192 	: 
A,TOTAL,F,MED_E,NAC,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3903 	4804 	5109 	5740 	5886 	6567 	7438 	7886 	8753 	9800 	11203 	12730 	14195 	17087 	19681 	22153 	28976 	50216 	: 
A,TOTAL,F,MED_E,NAC,UK	7764 	8200 	8553 	9010 	9047 	9832 	10408 	: 	: 	12265 b	12897 	14015 	14711 	14205 	14334 	14518 	15197 b	15475 	16178 	16549 	16968 	17984 b	18462 	: 	: 	: 	: 	: 	: 
A,TOTAL,F,MED_E,NAC,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2010 	: 	: 	: 	: 	: 	: 
A,TOTAL,F,MED_E,PPS,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3563 	3953 	4182 	4314 	4261 	: 	: 	: 
A,TOTAL,F,MED_E,PPS,AT	12171 	12390 	12719 	12941 	13143 	14348 	15139 	14769 b	16073 	16849 	17056 	17448 	18371 b	19054 	19060 	19936 	20013 	20484 	21196 	21490 	22592 	23061 	22743 	23238 	23152 	24111 	24941 	28275 	: 
A,TOTAL,F,MED_E,PPS,BE	12458 	12569 	13349 	13799 	14093 	14055 	15066 	14775 b	14412 	15068 	15688 	15925 	16378 	17072 	16885 	17589 	17859 	19012 	19126 	19330 	20622 	20208 	20857 	21566 b	21828 	22258 	23711 	24664 	25875 
A,TOTAL,F,MED_E,PPS,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3147 	3207 	4676 	5617 	5706 	5630 	5530 	5771 	6649 	6685 	6512 b	7301 	6983 	8045 	8294 	9111 	9200 	10724 	12450 
A,TOTAL,F,MED_E,PPS,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20139 	20885 	21789 	21635 	22234 	23377 	25095 	25148 b	25767 	26965 	26418 	26589 	26533 	25469 	25896 	26655 	27713 	: 
A,TOTAL,F,MED_E,PPS,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	14630 	16005 	18003 	17847 b	18252 	17646 	18699 	18595 	16693 	15527 	15118 	15981 	16508 	17348 	18508 	17976 	17901 	19154 	20123 	: 
A,TOTAL,F,MED_E,PPS,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	7492 	8075 	8650 	9444 	9854 	9443 	9751 	10035 	10520 	10795 	11307 	12138 	12372 	12846 	13575 	13713 	13454 	14902 	15664 	16346 
A,TOTAL,F,MED_E,PPS,DE	11654 	12354 	12893 	13270 	13570 	14478 	15501 	: 	: 	15387 b	14916 	16926 	17614 	17600 	17247 	18064 	18759 	18966 	18813 	19941 	20623 	20743 	21370 	22176 	23800 b	22880 	22711 	23600 	24608 
A,TOTAL,F,MED_E,PPS,DK	: 	: 	: 	: 	: 	: 	: 	15237 	14687 	15427 	15733 	16522 	17164 	17572 	17535 	18838 b	18870 	19412 	19655 	19947 	20815 	20860 	21292 	22116 	21441 b	22426 	22895 	22334 	23692 
A,TOTAL,F,MED_E,PPS,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18201 	18693 	19096 b	19075 	: 	: 	: 
A,TOTAL,F,MED_E,PPS,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18272 	18761 	19157 b	: 	: 	: 	: 
A,TOTAL,F,MED_E,PPS,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18201 	18693 	19096 b	19075 	: 	: 	: 
A,TOTAL,F,MED_E,PPS,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16449 	16936 	17733 	17816 	18103 	18595 	19001 	18968 	19532 	20727 	: 
A,TOTAL,F,MED_E,PPS,EE	: 	: 	: 	: 	: 	: 	: 	: 	3999 	4560 	5368 	6206 	7260 	7776 	7201 	7241 	7522 	8294 	8872 b	10111 	11423 	12023 	12930 	13720 	14004 	14324 	16486 	15002 	15835 
A,TOTAL,F,MED_E,PPS,EL	6566 	6879 	7198 	7609 	7828 	8726 	8902 	10067 b	10072 	10532 	10920 	11160 	11907 	12382 	12311 	11389 	9910 	8724 	8626 	8755 	8954 	8967 	9148 	9647 	10006 	9747 	10733 	11120 	: 
A,TOTAL,F,MED_E,PPS,ES	7281 	7472 	7848 	8283 	8781 	9713 	10518 	: 	11421 b	11116 	11860 	12319 	14674 b	15101 	14786 	14186 	14125 	14166 	14005 	14352 	15133 	15247 	15713 	15921 	16413 	16119 	16994 	18759 	20395 
A,TOTAL,F,MED_E,PPS,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16691 	17216 e	: 	: 	: 	: 	: 
A,TOTAL,F,MED_E,PPS,EU15	10259 e	10588 e	11042 e	11560 e	11902 e	12642 e	13436 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,F,MED_E,PPS,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16748 	17271 e	: 	: 	: 	: 	: 
A,TOTAL,F,MED_E,PPS,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14250 	14528 	14736 	14798 	15339 	16099 	16224 	16559 e	17113 e	17525 b	17633 	18288 	19500 	: 
A,TOTAL,F,MED_E,PPS,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16691 	17216 e	: 	: 	: 	: 	: 
A,TOTAL,F,MED_E,PPS,FI	: 	10176 	10635 	10991 	11208 	11628 	12507 	: 	12884 b	13791 	14491 	14747 	16042 	16848 	16813 	17530 	18164 	18782 	18801 	19112 	19637 	19513 	19613 	19904 	19799 	19595 	20292 	21139 	22465 
A,TOTAL,F,MED_E,PPS,FR	11378 	11631 	11757 	12709 	13062 	13294 	14356 	: 	13602 b	14240 	14691 	14881 	17275 b	17418 	17459 	17878 	18501 	18913 	19012 	19627 	20338 	20168 	20000 	20222 	19109 b	19687 	20167 b	21349 	: 
